,Date,Amount,Hours,Hourly Pay
0,2022-05-09,140,0.42,333.33
1,2022-05-10,140,0.5,280.0
2,2022-05-11,140,0.5,280.0
3,2022-05-12,140,0.5,280.0
4,2022-05-13,140,4.0,35.0
5,2022-05-16,140,0.5,280.0
6,2022/05/17,140,4.0,35.0
7,2022/05/18,140,7.0,20.0
8,2022/05/19,140,5.0,28.0
9,2022/05/23,140,0.5,280.0
10,2022/05/24,140,6.0,23.33
11,2022/05/25,140,5.0,28.0
12,2022/05/26,140,4.5,31.11
13,2022/05/27,140,7.0,20.0
14,2022/05/30,140,4.0,35.0
15,2022/05/31,140,2.5,56.0
16,2022/06/01,140,5.0,28.0
17,2022/06/02,140,5.0,28.0
18,2022/06/03,140,4.0,35.0
19,2022/06/06,140,5.0,28.0
20,2022/06/07,140,5.0,28.0
21,2022/06/08,140,5.0,28.0
22,2022/06/09,140,6.0,23.33
23,2022/06/10,140,6.0,23.33
