,Sim_time,Rec_time,Server_fps,Client_fps,Autopilot,Speed,Heading,Accelerometer,Gyroscope,Location,GNSS,Height,Throttle,Brake,Gear,Steering,Vehicle,Weather/Time
0,0:20:11.782915,0.06423521041870117,17.63668441772461,17.48251724243164,True,2.518623922211666e-05,355° NW,"(  0.0, -0.0,  9.8)","(  0.0,  0.0,  0.1)","(  6.3,  265.4)","(-0.002375,  0.000056)",0 m,0%,0%,1,-0.00755595276132226,Lincoln Mkz 2020,Clear Noon
1,0:20:12.232915,0.5671660900115967,17.63668441772461,17.48251724243164,True,0.0759833074052366,355° NW,"(  2.9, -0.1,  9.8)","( -0.0, -1.1,  0.8)","(  6.3,  265.4)","(-0.002375,  0.000056)",0 m,100%,0%,1,-0.00755595276132226,Lincoln Mkz 2020,Clear Noon
2,0:20:12.682915,1.089646816253662,17.21170425415039,17.331022262573242,True,6.9161839214166285,355° NW,"(  4.9, -0.0,  9.8)","( -0.0, -0.6,  0.3)","(  6.3,  264.9)","(-0.002370,  0.000056)",0 m,100%,0%,1,-0.00755595276132226,Lincoln Mkz 2020,Clear Noon
3,0:20:13.132915,1.5945746898651123,17.543859481811523,17.543859481811523,True,17.875171918916905,355° NW,"(  7.1, -0.1,  9.8)","( -0.1, -0.3, -0.9)","(  6.1,  263.2)","(-0.002355,  0.000054)",0 m,100%,0%,1,-0.00755595276132226,Lincoln Mkz 2020,Clear Noon
4,0:20:13.582915,2.1086082458496094,17.985610961914062,17.921146392822266,True,28.1765248968943,354° NW,"(  8.2, -1.1,  9.8)","( -1.1, -0.6, -5.7)","(  5.8,  260.3)","(-0.002329,  0.000051)",0 m,100%,0%,2,-0.03789747133851051,Lincoln Mkz 2020,Clear Noon
5,0:20:14.032915,2.6167550086975098,17.182130813598633,17.123287200927734,True,37.7926488275059,351° NW,"(  8.1, -1.8,  9.7)","( -0.9, -0.7,-10.3)","(  5.2,  256.1)","(-0.002292,  0.000045)",0 m,100%,0%,3,-0.04709017649292946,Lincoln Mkz 2020,Clear Noon
6,0:20:14.532915,3.1633448600769043,18.214935302734375,18.382352828979492,True,45.333901897791336,346° NW,"( -1.5, -2.0,  9.8)","( -0.3,  2.2, -8.8)","(  3.9,  250.1)","(-0.002238,  0.000033)",0 m,0%,0%,3,-0.03484528139233589,Lincoln Mkz 2020,Clear Noon
7,0:20:15.082915,3.74079966545105,18.7969913482666,18.8679256439209,True,46.73481053123317,341° NW,"(  4.3, -2.1,  9.8)","( -0.2, -0.9, -9.1)","(  1.9,  243.6)","(-0.002180,  0.000014)",0 m,96%,0%,3,-0.03484528139233589,Lincoln Mkz 2020,Clear Noon
8,0:20:15.632915,4.275520324707031,19.80198097229004,19.53125,True,50.95103297817113,336° NW,"( -0.9, -2.6,  9.8)","( -0.2,  1.1, -9.8)","( -1.0,  236.4)","(-0.002116, -0.000012)",0 m,38%,0%,3,-0.03484528139233589,Lincoln Mkz 2020,Clear Noon
9,0:20:16.182915,4.777399778366089,20.2020206451416,20.242916107177734,True,52.7100222235936,341° NW,"(  2.1,  8.6,  9.6)","(  6.5,  0.7, 40.1)","( -4.0,  229.2)","(-0.002051, -0.000039)",0 m,73%,0%,3,0.1592632532119751,Lincoln Mkz 2020,Clear Noon
10,0:20:16.782915,5.301095724105835,22.52252197265625,22.727272033691406,True,55.930385421031076,7° NE,"(  4.1, 12.5,  8.9)","(  2.5,  2.8, 46.1)","( -4.7,  220.2)","(-0.001969, -0.000043)",0 m,75%,0%,4,0.1592632532119751,Lincoln Mkz 2020,Clear Noon
11,0:20:17.332915,5.859104156494141,20.57613182067871,20.83333396911621,True,58.49790348600823,33° NE,"(  0.7,  5.5,  4.9)","(  3.0,  1.1, 47.9)","( -1.6,  211.9)","(-0.001895, -0.000012)",0 m,75%,0%,4,0.1592632532119751,Lincoln Mkz 2020,Clear Noon
12,0:20:17.832915,6.368514060974121,19.230770111083984,18.939393997192383,True,7.658364829812533,40° NE,"(  3.5,  1.6,  9.4)","(  0.3,  2.3, -0.6)","( -1.5,  211.3)","(-0.001892, -0.000009)",0 m,0%,0%,3,0.004523719660937786,Lincoln Mkz 2020,Clear Noon
