,Sim_time,Rec_time,Server_fps,Client_fps,Autopilot,Speed,Heading,Accelerometer,Gyroscope,Location,GNSS,Height,Throttle,Brake,Gear,Steering,Vehicle
0,1:00:02.329027,0.04768657684326172,26.737966537475586,31.74603271484375,False,2.953894694852509e-06,90°  E,"( -0.0, -0.0,  9.8)","( -0.0, -0.0,  0.0)","( 26.2,  41.9)","(-0.000376,  0.000245)",0 m,0%,0%,N,0.0015039155259728432,Nissan Patrol 2021
1,1:00:02.979027,0.5615043640136719,26.04166603088379,23.809524536132812,False,5.287360524765122e-06,90°  E,"( -0.0, -0.0,  9.8)","(  0.0, -0.0,  0.0)","( 26.2,  41.9)","(-0.000376,  0.000245)",0 m,0%,0%,N,0.0015039155259728432,Nissan Patrol 2021
2,1:00:03.679027,1.093198299407959,26.178010940551758,29.585798263549805,False,2.8498579871234794e-06,90°  E,"( -0.0, -0.0,  9.8)","( -0.0, -0.0, -0.0)","( 26.2,  41.9)","(-0.000376,  0.000245)",0 m,0%,0%,N,0.0015039155259728432,Nissan Patrol 2021
3,1:00:04.329027,1.598214864730835,24.630542755126953,27.77777671813965,False,3.9149222294468925e-06,90°  E,"( -0.0, -0.0,  9.8)","(  0.0, -0.0, -0.0)","( 26.2,  41.9)","(-0.000376,  0.000245)",0 m,40%,0%,N,0.0015039155259728432,Nissan Patrol 2021
4,1:00:04.979027,2.123133897781372,27.932960510253906,31.25,False,0.323302694001065,90°  E,"(  1.3,  0.0,  9.8)","( -0.0, -0.1,  0.0)","( 26.2,  41.9)","(-0.000376,  0.000245)",0 m,95%,0%,1,0.0015039155259728432,Nissan Patrol 2021
5,1:00:05.679027,2.6683106422424316,25.773195266723633,28.169015884399414,False,14.77611979756728,90°  E,"( 10.4,  0.0,  9.7)","(  0.0, -0.8,  0.1)","( 27.5,  41.9)","(-0.000376,  0.000256)",0 m,100%,0%,1,0.0015039155259728432,Nissan Patrol 2021
6,1:00:06.329027,3.2052676677703857,24.570024490356445,25.316455841064453,False,28.394416517767535,90°  E,"( 14.3,  0.1,  9.5)","(  0.0, -1.1,  0.3)","( 31.7,  41.9)","(-0.000376,  0.000294)",0 m,100%,0%,3,0.0015039155259728432,Nissan Patrol 2021
7,1:00:06.929027,3.7294809818267822,24.752473831176758,27.4725284576416,False,42.357503699098366,90°  E,"(  5.5,  0.1,  9.8)","(  0.0, -0.2,  0.3)","( 38.0,  41.9)","(-0.000376,  0.000350)",0 m,100%,0%,4,0.0015039155259728432,Nissan Patrol 2021
8,1:00:07.579027,4.264708757400513,22.421524047851562,27.548208236694336,False,54.26556445080117,90°  E,"(  4.5,  0.1,  9.8)","(  0.0,  0.2,  0.4)","( 46.9,  41.9)","(-0.000377,  0.000430)",0 m,75%,0%,4,0.0015039155259728432,Nissan Patrol 2021
9,1:00:08.179027,4.783259153366089,23.923444747924805,29.585798263549805,False,57.943928349676916,91° SE,"( -0.5,  0.1,  9.8)","(  0.0,  0.4,  0.4)","( 56.5,  42.0)","(-0.000378,  0.000516)",0 m,29%,0%,4,0.0015039155259728432,Nissan Patrol 2021
