,Sim_time,Rec_time,Server_fps,Client_fps,Autopilot,Speed,Heading,Accelerometer,Gyroscope,Location,GNSS,Height,Throttle,Brake,Gear,Steering,Vehicle
0,0:00:27.188548,0.03989005088806152,28.32861328125,28.32861328125,False,0.0009072646409965982,90°  E,"(  0.0,  0.0,  9.8)","( -0.0, -0.0, -0.0)","( -6.6,  137.2)","(-0.001233, -0.000050)",0 m,0%,0%,N,0.0015039155259728432,Tesla Cybertruck
1,0:00:27.680773,0.5621068477630615,31.05590057373047,26.385223388671875,False,0.0015498447123997777,90°  E,"( -0.0,  0.0,  9.8)","(  0.0,  0.0, -0.0)","( -6.6,  137.2)","(-0.001233, -0.000050)",0 m,0%,0%,N,0.0015039155259728432,Tesla Cybertruck
2,0:00:28.215967,1.0623717308044434,26.80965232849121,27.4725284576416,False,0.0014535083436746587,90°  E,"(  0.0, -0.0,  9.8)","( -0.0,  0.0,  0.0)","( -6.6,  137.2)","(-0.001233, -0.000050)",0 m,0%,0%,N,0.0015039155259728432,Tesla Cybertruck
3,0:00:28.698371,1.577216625213623,30.58104133605957,29.6735897064209,False,0.0005580367818367449,90°  E,"( -0.0, -0.0,  9.8)","( -0.0,  0.0, -0.0)","( -6.6,  137.2)","(-0.001233, -0.000050)",0 m,0%,0%,N,0.0015039155259728432,Tesla Cybertruck
4,0:00:29.201160,2.0794031620025635,27.397258758544922,26.954177856445312,False,0.0007490272478559766,90°  E,"(  0.0, -0.0,  9.8)","( -0.0, -0.0, -0.0)","( -6.6,  137.2)","(-0.001233, -0.000050)",0 m,0%,0%,N,0.0015039155259728432,Tesla Cybertruck
5,0:00:29.740668,2.5917510986328125,31.74603271484375,31.446542739868164,False,9.09118662812486e-05,90°  E,"( -0.0,  0.0,  9.8)","(  0.0,  0.0,  0.0)","( -6.6,  137.2)","(-0.001233, -0.000050)",0 m,37%,0%,N,0.0015039155259728432,Tesla Cybertruck
6,0:00:30.224337,3.096219539642334,27.624309539794922,28.818443298339844,False,0.0006857185256569126,90°  E,"(  0.0, -0.0,  9.8)","(  0.0,  0.0, -0.0)","( -6.6,  137.2)","(-0.001233, -0.000050)",0 m,43%,0%,N,0.0015039155259728432,Tesla Cybertruck
7,0:00:30.725034,3.6026298999786377,32.467533111572266,33.222591400146484,False,8.905654063512658,90°  E,"(  6.0,  0.0,  9.8)","(  0.0, -0.1,  0.1)","( -6.1,  137.2)","(-0.001233, -0.000046)",0 m,97%,0%,1,0.0015039155259728432,Tesla Cybertruck
8,0:00:31.243328,4.118090867996216,27.397258758544922,25.510204315185547,False,21.19501489920938,90°  E,"(  6.5, -0.0,  9.8)","(  0.0, -0.0,  0.1)","( -3.7,  137.2)","(-0.001233, -0.000024)",0 m,100%,0%,1,0.0015039155259728432,Tesla Cybertruck
9,0:00:31.747993,4.624466896057129,30.76923179626465,30.86419677734375,False,29.96287305065024,90°  E,"(  2.4,  0.0,  9.8)","(  0.0,  0.5,  0.2)","(  0.1,  137.3)","(-0.001233,  0.000010)",0 m,48%,0%,1,0.0015039155259728432,Tesla Cybertruck
10,0:00:32.278302,5.127692222595215,26.595745086669922,27.700830459594727,False,33.58078382041027,91° SE,"(  1.6,  0.0,  9.8)","(  0.0, -0.0,  0.2)","(  4.6,  137.3)","(-0.001234,  0.000050)",0 m,49%,0%,1,0.0015039155259728432,Tesla Cybertruck
11,0:00:32.815168,5.662889719009399,30.95975112915039,30.487804412841797,False,36.28931929785012,91° SE,"(  1.5,  0.0,  9.8)","(  0.0,  0.0,  0.2)","(  9.9,  137.4)","(-0.001234,  0.000098)",0 m,49%,0%,1,0.0015039155259728432,Tesla Cybertruck
12,0:00:33.298122,6.179139137268066,26.3157901763916,26.737966537475586,False,39.14815693806369,91° SE,"(  1.3, -0.1, 10.0)","( -2.0,  0.8,  0.2)","( 15.4,  137.5)","(-0.001235,  0.000147)",0 m,49%,0%,1,0.0015039155259728432,Tesla Cybertruck
13,0:00:33.835791,6.688683986663818,29.32551383972168,29.940120697021484,False,41.292024268941915,91° SE,"(  1.2,  0.0,  9.8)","( -0.0,  0.1,  0.3)","( 21.0,  137.6)","(-0.001236,  0.000198)",0 m,48%,0%,1,0.0015039155259728432,Tesla Cybertruck
14,0:00:34.301337,7.189321041107178,24.93765640258789,24.570024490356445,False,43.50037937843452,91° SE,"(  1.4,  0.1,  9.8)","(  0.0, -0.0,  0.3)","( 27.0,  137.7)","(-0.001237,  0.000251)",0 m,55%,0%,1,0.0015039155259728432,Tesla Cybertruck
15,0:00:34.815326,7.689422130584717,30.487804412841797,30.21148109436035,False,46.09924153958836,91° SE,"(  1.2,  0.1,  9.8)","(  0.0,  0.0,  0.3)","( 32.9,  137.8)","(-0.001238,  0.000308)",0 m,51%,0%,1,0.0015039155259728432,Tesla Cybertruck
16,0:00:35.308543,8.192332983016968,27.700830459594727,27.027027130126953,False,47.991930024063926,90°  E,"(  1.0, -1.2,  9.8)","( -0.1,  0.0, -4.8)","( 39.9,  137.9)","(-0.001239,  0.000367)",0 m,49%,0%,1,-0.025718288496136665,Tesla Cybertruck
17,0:00:35.807333,8.694921255111694,29.239765167236328,29.41176414489746,False,49.636524370873886,89° NE,"(  0.9,  0.1,  9.8)","(  0.1,  0.0,  0.3)","( 46.6,  137.8)","(-0.001238,  0.000428)",0 m,49%,0%,1,0.0015039155259728432,Tesla Cybertruck
18,0:00:36.329864,9.217579126358032,25.316455841064453,27.173912048339844,False,49.20698253739081,89° NE,"( -2.7,  0.1,  9.8)","( -0.0,  0.5,  0.3)","( 53.9,  137.7)","(-0.001237,  0.000493)",0 m,0%,0%,1,0.0015039155259728432,Tesla Cybertruck
19,0:00:36.869045,9.748909950256348,30.303030014038086,30.21148109436035,False,43.28650780230379,89° NE,"( -3.0, -0.1,  9.8)","( -0.3,  0.0, -0.6)","( 60.3,  137.6)","(-0.001236,  0.000551)",0 m,0%,0%,1,-0.004535471089184284,Tesla Cybertruck
20,0:00:37.374599,10.251841306686401,26.80965232849121,27.4725284576416,False,38.01817664550641,86° NE,"( -2.7, -1.6,  9.8)","(  0.6,  0.1, -8.4)","( 66.3,  137.3)","(-0.001233,  0.000605)",0 m,0%,0%,1,-0.05325353890657425,Tesla Cybertruck
21,0:00:37.922670,10.777628660202026,28.901735305786133,28.089887619018555,False,33.24970141650661,81° NE,"( -2.3, -1.5,  9.8)","(  0.2,  0.0, -8.8)","( 71.3,  136.6)","(-0.001226,  0.000650)",0 m,10%,0%,1,-0.065681591629982,Tesla Cybertruck
22,0:00:38.399017,11.280911207199097,27.100271224975586,27.548208236694336,False,32.994239244984094,76° NE,"(  1.0, -2.0,  9.8)","( -0.3, -0.1,-12.1)","( 75.5,  135.7)","(-0.001217,  0.000687)",0 m,44%,0%,1,-0.09105778485536575,Tesla Cybertruck
23,0:00:38.907010,11.791123867034912,30.76923179626465,30.303030014038086,False,34.658962202167274,70° NE,"(  0.7, -2.2,  9.8)","( -0.1,  0.1,-12.7)","( 80.1,  134.2)","(-0.001202,  0.000728)",0 m,40%,0%,1,-0.09105778485536575,Tesla Cybertruck
24,0:00:39.407334,12.298646926879883,27.700830459594727,26.737966537475586,False,35.874338714988745,63° NE,"(  0.6, -3.3,  9.8)","( -0.5,  0.2,-18.1)","( 84.8,  131.9)","(-0.001181,  0.000770)",0 m,40%,0%,1,-0.1275312453508377,Tesla Cybertruck
