,intervals,Anomaly_Score,timestamps,Data
7,0.005967855453491211,0.04065184287361456,1671030740.828297,2A4#2100000000000000
42,0.005625009536743164,0.024032742180205013,1671030740.856583,213#FFFF087F2F07FF50
59,0.005513906478881836,0.019938063519443938,1671030740.876459,213#FFFF087F2F07FF50
69,0.006685972213745117,0.0725185482776668,1671030740.889845,412#0000000000000000
86,0.006064891815185547,0.04244231845741109,1671030740.908222,346#000000030300C000
111,0.00567317008972168,0.025060118114827667,1671030740.928384,2A4#2100000000000000
147,0.005028963088989258,0.008051543381530135,1671030740.956595,213#FFFF087F2F07FF50
161,0.006333112716674805,0.059331286876983524,1671030740.968240,2A4#25030B0000000000
166,0.005487918853759766,0.019938063519443938,1671030740.976440,213#FFFF087F2F07FF50
212,0.005990028381347656,0.04020498059759303,1671030741.008224,18B#0000001E00000000
252,0.005860090255737305,0.0365872979707238,1671030741.028090,2A4#2100000000000000
287,0.0056149959564208984,0.02359712035728434,1671030741.056603,213#FFFF087F2F07FF50
305,0.005095005035400391,0.010631660552286037,1671030741.076581,213#FFFF087F2F07FF50
314,0.0076520442962646484,0.10658446108278197,1671030741.089560,3CA#05BC00003C000000
321,0.004578828811645508,0.0004196509319779329,1671030741.096428,213#FFFF087F2F07FF50
331,0.005217075347900391,0.012000979382207677,1671030741.108156,346#000000030300C000
339,0.005443096160888672,0.021608000884855816,1671030741.116390,213#FFFF087F2F07FF50
350,0.005867958068847656,0.03792144185209578,1671030741.128093,2A4#2100000000000000
394,0.005628824234008789,0.024032742180205013,1671030741.156617,213#FFFF087F2F07FF50
406,0.0052988529205322266,0.011738499104071431,1671030741.168089,2A4#25030B0000000000
410,0.005587100982666016,0.0192570742757896,1671030741.176532,213#FFFF087F2F07FF50
419,0.0064849853515625,0.06878008266117441,1671030741.188422,290#0000000000000000
436,0.005933046340942383,0.04065184287361456,1671030741.208090,287#0000000000000000
445,0.0054399967193603516,0.021608000884855816,1671030741.216397,213#FFFF087F2F07FF50
457,0.005228996276855469,0.01251750593184775,1671030741.227963,591#9100FFFFFFFFFFFF
494,0.004925966262817383,0.008215627069434683,1671030741.256370,213#FFFF087F2F07FF50
511,0.005571126937866211,0.020122735950283133,1671030741.276585,213#FFFF087F2F07FF50
521,0.0068340301513671875,0.07863687861805091,1671030741.289471,412#0000000000000000
526,0.004708051681518555,0.0007801529563188359,1671030741.296637,213#FFFF087F2F07FF50
536,0.005738973617553711,0.031005056510376328,1671030741.308009,346#000000030300C000
546,0.0052340030670166016,0.012945628902747752,1671030741.316663,213#FFFF087F2F07FF50
556,0.0059659481048583984,0.03975842056021539,1671030741.328184,2A4#2100000000000000
592,0.005591869354248047,0.020122735950283133,1671030741.356536,213#FFFF087F2F07FF50
604,0.005952119827270508,0.04020498059759303,1671030741.367954,2A4#25030B0000000000
609,0.004903078079223633,0.0038291244741592845,1671030741.376409,213#FFFF087F2F07FF50
617,0.00653386116027832,0.06691842436001028,1671030741.388563,290#0000000000000000
636,0.005064964294433594,0.010543171981553856,1671030741.407935,287#0000000000000000
645,0.00527191162109375,0.012593979961777135,1671030741.416378,213#FFFF087F2F07FF50
656,0.005685091018676758,0.0268083399574075,1671030741.427835,2A4#2100000000000000
690,0.005613088607788086,0.02359712035728434,1671030741.456567,213#FFFF087F2F07FF50
708,0.005582094192504883,0.0192570742757896,1671030741.476541,213#FFFF087F2F07FF50
717,0.007414102554321289,0.10119668679292182,1671030741.489370,412#0000000000000000
732,0.0056438446044921875,0.02359712035728434,1671030741.507942,346#000000030300C000
742,0.004682064056396484,0.0011379828827438043,1671030741.516428,213#FFFF087F2F07FF50
754,0.005142927169799805,0.009440408152823987,1671030741.527832,2A4#2100000000000000
790,0.005218029022216797,0.012000979382207677,1671030741.556638,213#FFFF087F2F07FF50
800,0.005888938903808594,0.03806753678151675,1671030741.567949,2A4#25030B0000000000
804,0.0056378841400146484,0.02490487053207624,1671030741.576659,213#FFFF087F2F07FF50
814,0.0058078765869140625,0.036365537730557285,1671030741.588496,290#0000000000000000
829,0.005681037902832031,0.0268083399574075,1671030741.607832,287#0000000000000000
