,data,Anomaly_Score,Timestamps
1,076#BE807FFFFFFFFFF2,0.003248873038308453,1671030740.819928
7,2AC#3000000000000000,0.004293990151188198,1671030740.822329
38,43E#0037100000000000,0.0037931425613647596,1671030740.845267
77,43E#0037100000000000,0.0037931425613647596,1671030740.892232
89,430#CD00073488002401,0.017091422743919504,1671030740.908721
104,076#BE807FFFFFFFFFF2,0.003248873038308453,1671030740.920044
109,2AC#3000000000000000,0.004293990151188198,1671030740.922210
142,43E#0037100000000000,0.0037931425613647596,1671030740.945055
192,43E#0037100000000000,0.0037931425613647596,1671030740.991859
240,430#CD00073488002401,0.017091422743919504,1671030741.014765
247,076#BE807FFFFFFFFFF2,0.003248873038308453,1671030741.020347
252,2AC#3000000000000000,0.004293990151188198,1671030741.022230
284,43E#0037100000000000,0.0037931425613647596,1671030741.045477
321,43E#0037100000000000,0.0037931425613647596,1671030741.091849
335,430#CD00073488002401,0.017091422743919504,1671030741.108699
344,076#BE807FFFFFFFFFF2,0.003248873038308453,1671030741.119545
350,2AC#3000000000000000,0.004293990151188198,1671030741.122225
386,43E#0037100000000000,0.0037931425613647596,1671030741.145033
428,43E#0037100000000000,0.0037931425613647596,1671030741.192249
441,430#CD00073488002401,0.017091422743919504,1671030741.208828
450,076#BE807FFFFFFFFFF2,0.003248873038308453,1671030741.219529
455,2AC#3000000000000000,0.004293990151188198,1671030741.222220
489,43E#0037100000000000,0.0037931425613647596,1671030741.244826
526,43E#0037100000000000,0.0037931425613647596,1671030741.291929
539,430#CD00073488002401,0.017091422743919504,1671030741.308406
551,076#BE807FFFFFFFFFF2,0.003248873038308453,1671030741.319503
556,2AC#3000000000000000,0.004293990151188198,1671030741.322218
589,43E#0037100000000000,0.0037931425613647596,1671030741.345372
626,43E#0037100000000000,0.0037931425613647596,1671030741.391941
641,430#CD00073488002401,0.017091422743919504,1671030741.408760
650,076#BE807FFFFFFFFFF2,0.003248873038308453,1671030741.419273
656,2AC#3000000000000000,0.004293990151188198,1671030741.422150
686,43E#0037100000000000,0.0037931425613647596,1671030741.444849
724,43E#0037100000000000,0.0037931425613647596,1671030741.492270
735,430#CD00073488002401,0.017091422743919504,1671030741.508281
747,076#BE807FFFFFFFFFF2,0.003248873038308453,1671030741.519196
752,2AC#3000000000000000,0.004293990151188198,1671030741.522160
785,43E#0037100000000000,0.0037931425613647596,1671030741.544884
820,43E#0037100000000000,0.0037931425613647596,1671030741.591864
834,430#CD00073488002401,0.017091422743919504,1671030741.608658
844,076#BE807FFFFFFFFFF2,0.003248873038308453,1671030741.619180
849,2AC#3000000000000000,0.004293990151188198,1671030741.622287
892,43E#0037100000000000,0.0037931425613647596,1671030741.647111
