,Sim_time,Rec_time,Server_fps,Client_fps,Autopilot,Speed,Heading,Accelerometer,Gyroscope,Location,GNSS,Height,Throttle,Brake,Gear,Steering,Vehicle,Weather/Time
0,0:14:03.159676,0.013556957244873047,28.818443298339844,29.069766998291016,False,29.619740786078314,262° SW,"(  0.3,  0.3, 10.1)","(  0.1,  0.9,  4.0)","( 41.9,  128.9)","(-0.001159,  0.000368)",0 m,100%,0%,N,0.016614176332950592,Nissan Patrol 2021,Clear Noon
1,0:14:03.687468,0.5465734004974365,28.40909194946289,26.737966537475586,False,39.91657340661928,263° SW,"(  8.1,  0.7,  9.6)","(  0.1,  0.5,  2.8)","( 36.7,  129.6)","(-0.001165,  0.000320)",0 m,100%,0%,4,0.016614176332950592,Nissan Patrol 2021,Clear Noon
2,0:14:04.214029,1.0607750415802002,28.169015884399414,28.169015884399414,False,49.84288610586067,265° SW,"(  4.4,  0.9,  9.8)","(  0.1,  0.2,  4.0)","( 30.1,  130.2)","(-0.001171,  0.000262)",0 m,95%,0%,4,0.016614176332950592,Nissan Patrol 2021,Clear Noon
3,0:14:04.726590,1.5731086730957031,26.455026626586914,29.940120697021484,False,56.50755953380443,267° SW,"(  2.1, -0.9,  9.8)","( -1.6,  0.6, -2.9)","( 22.4,  130.7)","(-0.001175,  0.000193)",0 m,98%,0%,N,-0.044019442051649094,Nissan Patrol 2021,Clear Noon
4,0:14:05.220385,2.073118209838867,31.446542739868164,31.25,False,62.86857669518659,257° SW,"(  3.5, -8.7,  9.6)","( -2.4,  0.9,-36.8)","( 14.1,  131.8)","(-0.001185,  0.000118)",0 m,98%,0%,5,-0.14491763710975647,Nissan Patrol 2021,Clear Noon
5,0:14:05.733463,2.5841190814971924,26.80965232849121,27.247955322265625,False,68.4530302692481,241° SW,"(  4.0, -7.0,  9.6)","(  2.0,  0.4,-17.2)","(  5.3,  135.0)","(-0.001217,  0.000040)",0 m,98%,0%,5,-0.0015156649751588702,Nissan Patrol 2021,Clear Noon
6,0:14:06.238810,3.0915143489837646,29.498525619506836,30.76923179626465,False,72.82175749279723,245° SW,"(  2.6,  8.7,  9.8)","(  6.3,  0.5, 46.1)","( -3.5,  139.8)","(-0.001259, -0.000039)",0 m,100%,0%,6,0.19729876518249512,Nissan Patrol 2021,Clear Noon
7,0:14:06.761593,3.616664409637451,26.3157901763916,25.57544708251953,False,73.0368360687187,275° NW,"(  2.3, 20.2,  8.6)","(  3.2,  4.3, 68.6)","(-13.8,  142.5)","(-0.001280, -0.000133)",0 m,100%,0%,6,0.2482004016637802,Nissan Patrol 2021,Clear Noon
8,0:14:07.291852,4.144574165344238,28.32861328125,26.954177856445312,False,71.13413172179744,305° NW,"(  3.6, 17.8,  8.8)","( -1.7,  2.0, 36.1)","(-23.3,  140.6)","(-0.001259, -0.000218)",0 m,100%,0%,6,0.05324151739478111,Nissan Patrol 2021,Clear Noon
9,0:14:07.794917,4.647592544555664,25.316455841064453,26.737966537475586,False,73.51542169988376,318° NW,"(  3.0, 10.3,  9.5)","( -2.0,  0.8, 22.2)","(-32.1,  134.4)","(-0.001201, -0.000295)",0 m,100%,0%,6,0.07825939357280731,Nissan Patrol 2021,Clear Noon
