,Sim_time,Rec_time,Server_fps,Client_fps,Autopilot,Speed,Heading,Accelerometer,Gyroscope,Location,GNSS,Height,Throttle,Brake,Gear,Steering,Vehicle
0,0:02:45.638740,0.06474685668945312,14.83679485321045,21.18644142150879,False,3.5408979769524493e-06,270°  W,"( -0.0,  0.0,  9.8)","( -0.0, -0.0,  0.0)","( 32.0,  13.3)","(-0.000119,  0.000279)",0 m,0%,0%,N,0.028744326904416084,Ford Crown
1,0:02:46.038740,0.5995867252349854,14.204545974731445,14.18439769744873,False,1.0306907626772568e-07,270°  W,"( -0.0,  0.0,  9.8)","( -0.0,  0.0,  0.0)","( 32.0,  13.3)","(-0.000119,  0.000279)",0 m,0%,0%,N,0.028744326904416084,Ford Crown
2,0:02:46.388741,1.12619948387146,14.204545974731445,15.128592491149902,False,1.482648546476218e-06,270°  W,"( -0.0,  0.0,  9.8)","(  0.0,  0.0,  0.0)","( 32.0,  13.3)","(-0.000119,  0.000279)",0 m,0%,0%,N,0.028744326904416084,Ford Crown
3,0:02:46.788741,1.6637115478515625,13.661202430725098,14.925373077392578,False,3.904996605366294e-07,270°  W,"( -0.0,  0.0,  9.8)","(  0.0,  0.0, -0.0)","( 32.0,  13.3)","(-0.000119,  0.000279)",0 m,0%,0%,N,0.028744326904416084,Ford Crown
4,0:02:47.138741,2.1917712688446045,14.992504119873047,16.611295700073242,False,8.781447914543165e-07,270°  W,"( -0.0,  0.0,  9.8)","(  0.0, -0.0, -0.0)","( 32.0,  13.3)","(-0.000119,  0.000279)",0 m,0%,0%,N,0.028744326904416084,Ford Crown
5,0:02:47.538741,2.7278225421905518,13.64256477355957,19.083969116210938,False,2.2474897096299315e-06,270°  W,"( -0.0,  0.0,  9.8)","(  0.0, -0.0, -0.0)","( 32.0,  13.3)","(-0.000119,  0.000279)",0 m,48%,0%,N,0.028744326904416084,Ford Crown
6,0:02:47.888741,3.2623143196105957,14.025245666503906,19.083969116210938,False,0.7156456603472084,270°  W,"(  3.7,  0.1,  9.8)","( -0.0,  0.4,  0.7)","( 32.0,  13.3)","(-0.000119,  0.000278)",0 m,59%,0%,1,0.028744326904416084,Ford Crown
7,0:02:48.288741,3.7883615493774414,14.025245666503906,14.792899131774902,False,4.330703181717503,270°  W,"(  1.8,  0.0,  9.8)","(  0.0, -0.1,  0.6)","( 31.7,  13.3)","(-0.000119,  0.000276)",0 m,59%,0%,1,0.019641857594251633,Ford Crown
8,0:02:48.638741,4.3021910190582275,14.880952835083008,16.5289249420166,False,6.394687117295323,270°  W,"(  2.1,  0.0,  9.8)","( -0.0,  0.1,  0.1)","( 31.1,  13.3)","(-0.000119,  0.000271)",0 m,59%,0%,1,0.0015039155259728432,Ford Crown
9,0:02:49.038741,4.866980314254761,13.333333015441895,15.673980712890625,False,9.114861406808735,270°  W,"(  2.0,  0.0,  9.8)","(  0.0,  0.1,  0.1)","( 30.2,  13.3)","(-0.000119,  0.000262)",0 m,62%,0%,1,0.0015039155259728432,Ford Crown
10,0:02:49.388741,5.39218807220459,13.333333015441895,16.0,False,11.38302717254199,270°  W,"(  1.6, -0.0,  9.8)","( -0.0, -0.0,  0.4)","( 29.2,  13.3)","(-0.000119,  0.000253)",0 m,62%,0%,1,0.0015039155259728432,Ford Crown
11,0:02:49.788741,5.949278354644775,13.49527645111084,18.214935302734375,False,13.802131660745413,271° NW,"(  1.6,  0.0,  9.8)","(  0.0, -0.0,  0.1)","( 27.8,  13.2)","(-0.000119,  0.000240)",0 m,64%,0%,1,0.0015039155259728432,Ford Crown
12,0:02:50.138741,6.4535064697265625,14.430013656616211,15.94896411895752,False,16.23178052749065,271° NW,"(  2.3,  0.0,  9.8)","( -0.0,  0.1,  0.2)","( 26.3,  13.2)","(-0.000119,  0.000227)",0 m,71%,0%,1,0.0015039155259728432,Ford Crown
13,0:02:50.538741,7.007395029067993,13.966480255126953,15.625,False,18.675860557241702,271° NW,"(  1.1, -0.1,  9.8)","(  0.1, -0.1, -0.3)","( 24.3,  13.2)","(-0.000118,  0.000209)",0 m,70%,0%,1,-0.004535471089184284,Ford Crown
14,0:02:50.888741,7.556741952896118,13.679890632629395,15.625,False,22.365643582226063,270°  W,"(  3.8,  0.1,  9.8)","( -0.2,  0.1, -0.7)","( 21.9,  13.2)","(-0.000119,  0.000188)",0 m,70%,0%,1,-0.004535471089184284,Ford Crown
15,0:02:51.338741,8.19344425201416,13.679890632629395,16.420360565185547,False,28.740510124923713,270°  W,"(  0.1,  0.0,  9.7)","(  0.0, -0.6,  0.3)","( 18.9,  13.2)","(-0.000119,  0.000161)",0 m,70%,0%,N,0.0015039155259728432,Ford Crown
16,0:02:51.788741,8.732654571533203,14.471780776977539,15.649452209472656,False,33.51545287925208,270°  W,"(  2.5,  0.0,  9.8)","( -0.0, -0.1,  0.3)","( 15.0,  13.2)","(-0.000118,  0.000125)",0 m,70%,0%,2,0.0015039155259728432,Ford Crown
17,0:02:52.188741,9.272847890853882,16.233766555786133,18.55287742614746,False,36.71633570488477,270°  W,"(  2.2, -0.0,  9.8)","(  0.1,  0.0, -0.0)","( 11.0,  13.2)","(-0.000118,  0.000090)",0 m,70%,0%,2,-0.0015156649751588702,Ford Crown
18,0:02:52.638741,9.82990550994873,14.492753982543945,16.638935089111328,False,40.238006846110025,270°  W,"(  2.1,  0.0,  9.8)","( -0.0, -0.0,  0.3)","(  6.1,  13.2)","(-0.000118,  0.000046)",0 m,70%,0%,2,0.0015039155259728432,Ford Crown
19,0:02:53.038741,10.37731122970581,14.858841896057129,20.120723724365234,False,42.230913986850084,270°  W,"( -0.7,  0.1,  9.8)","( -0.0, -0.4,  0.4)","(  1.5,  13.1)","(-0.000118,  0.000004)",0 m,0%,0%,2,0.0015039155259728432,Ford Crown
20,0:02:53.488741,10.928779363632202,17.331022262573242,14.992504119873047,False,40.151529450715465,270°  W,"( -1.3, -0.0,  9.8)","(  0.0,  0.0, -0.3)","( -3.6,  13.1)","(-0.000118, -0.000042)",0 m,0%,0%,2,-0.0015156649751588702,Ford Crown
21,0:02:53.938741,11.502667665481567,15.527950286865234,18.48428726196289,False,38.004173246006204,270°  W,"( -1.4,  0.0,  9.8)","( -0.0, -0.0,  0.3)","( -8.5,  13.1)","(-0.000118, -0.000085)",0 m,0%,0%,2,0.0015039155259728432,Ford Crown
