,Sim_time,Rec_time,Server_fps,Client_fps,Autopilot,Speed,Heading,Accelerometer,Gyroscope,Location,GNSS,Height,Throttle,Brake,Gear,Steering,Vehicle,Weather/Time
0,0:00:55.432898,0.06435298919677734,15.698586463928223,15.290520668029785,False,0.007832897471956493,265° SW,"( -0.0,  0.0,  9.8)","(  0.0,  0.0,  0.0)","( 363.4, -23.9)","( 0.000214,  0.003255)",0 m,0%,0%,1,-0.044019442051649094,Lincoln Mkz 2020,Clear Noon
1,0:00:55.932898,0.5745828151702881,17.63668441772461,13.812154769897461,False,0.008565042557034885,265° SW,"( -0.0,  0.0,  9.8)","(  0.1,  0.0,  0.1)","( 363.4, -23.9)","( 0.000214,  0.003255)",0 m,5%,0%,1,-0.044019442051649094,Lincoln Mkz 2020,Clear Noon
2,0:00:56.482898,1.1032905578613281,20.44989776611328,20.9643611907959,False,1.335280702075627,265° SW,"(  4.8, -0.2,  9.8)","( -0.1, -1.2, -0.3)","( 363.3, -23.9)","( 0.000214,  0.003255)",0 m,78%,0%,1,-0.044019442051649094,Lincoln Mkz 2020,Clear Noon
3,0:00:57.032898,1.6111233234405518,21.7391300201416,21.052631378173828,False,7.52586784161193,264° SW,"(  4.1, -0.2,  9.8)","( -0.1, -0.4, -2.2)","( 362.6, -23.8)","( 0.000213,  0.003248)",0 m,87%,0%,1,-0.044019442051649094,Lincoln Mkz 2020,Clear Noon
4,0:00:57.582898,2.124206781387329,21.41327667236328,21.691974639892578,False,18.4996578804911,262° SW,"(  5.6, -0.5,  9.8)","( -0.2, -0.0, -4.8)","( 360.5, -23.5)","( 0.000210,  0.003229)",0 m,87%,0%,1,-0.044019442051649094,Lincoln Mkz 2020,Clear Noon
5,0:00:58.132898,2.6306567192077637,21.5982723236084,21.18644142150879,False,26.348478530609807,261° SW,"(  5.6,  0.0,  9.8)","( -0.0, -0.3, -0.3)","( 357.1, -23.0)","( 0.000205,  0.003199)",0 m,80%,0%,2,0.0015039155259728432,Lincoln Mkz 2020,Clear Noon
6,0:00:58.682898,3.1605803966522217,22.075054168701172,20.83333396911621,False,35.9783966459225,264° SW,"(  3.7,  1.4,  9.8)","(  0.4,  0.6,  9.6)","( 352.3, -22.4)","( 0.000200,  0.003156)",0 m,79%,0%,3,0.04400750622153282,Lincoln Mkz 2020,Clear Noon
7,0:00:59.232898,3.6657114028930664,20.28397560119629,21.7391300201416,False,42.820899504400764,269° SW,"(  3.5,  0.5,  9.8)","( -1.0,  0.1,  2.4)","( 346.1, -22.1)","( 0.000198,  0.003101)",0 m,79%,0%,3,0.004523719660937786,Lincoln Mkz 2020,Clear Noon
8,0:00:59.732898,4.182815313339233,21.7391300201416,19.30501937866211,False,48.870310045370985,269° SW,"(  3.4,  0.1,  9.8)","( -0.3,  0.0,  0.4)","( 339.7, -22.0)","( 0.000197,  0.003043)",0 m,79%,0%,3,0.0015039155259728432,Lincoln Mkz 2020,Clear Noon
9,0:01:00.282898,4.717010974884033,21.881837844848633,21.5982723236084,False,54.99163550684978,269° SW,"( -0.1, -1.1,  9.9)","( -1.2,  1.0, -5.2)","( 331.6, -21.9)","( 0.000196,  0.002970)",0 m,79%,0%,N,-0.02268427051603794,Lincoln Mkz 2020,Clear Noon
10,0:01:00.732898,5.260746717453003,21.881837844848633,17.48251724243164,False,59.73356110908578,266° SW,"(-15.6,-42.8, 33.8)","( 11.2,  0.1,-57.4)","( 324.5, -21.4)","( 0.000196,  0.002907)",0 m,79%,0%,4,-0.0287561547011137,Lincoln Mkz 2020,Clear Noon
11,0:01:01.182898,5.77483868598938,15.974441528320312,16.920473098754883,False,50.906832566609005,267° SW,"( -2.0, -4.3, 10.8)","(-99.9,-51.8,-69.9)","( 318.3, -20.7)","( 0.000205,  0.002844)",2 m,79%,0%,N,0.0015039155259728432,Lincoln Mkz 2020,Clear Noon
12,0:01:01.682898,6.315905809402466,17.452007293701172,18.214935302734375,False,51.83795586722112,291° NW,"( -2.0, -4.3, 10.8)","(-99.9,-51.8,-69.9)","( 311.4, -21.1)","( 0.000169,  0.002781)",1 m,79%,0%,N,0.004523719660937786,Lincoln Mkz 2020,Clear Noon
13,0:01:02.332898,6.836221218109131,25.0,24.390243530273438,False,51.23485025291459,279° NW,"( -0.2, -0.6,  9.2)","(  0.6,  0.7,  0.5)","( 302.3, -21.6)","( 0.000196,  0.002707)",0 m,70%,0%,N,0.0015039155259728432,Lincoln Mkz 2020,Clear Noon
14,0:01:02.982898,7.3593456745147705,25.252525329589844,24.752473831176758,False,49.79743462602884,279° NW,"( -3.3,  0.1,  9.7)","(  0.2,  0.9,  0.4)","( 293.2, -23.0)","( 0.000208,  0.002625)",0 m,0%,0%,4,0.0015039155259728432,Lincoln Mkz 2020,Clear Noon
