,Sim_time,Rec_time,Server_fps,Client_fps,Autopilot,Speed,Heading,Accelerometer,Gyroscope,Location,GNSS,Height,Throttle,Brake,Gear,Steering,Vehicle,Weather/Time
0,0:20:01.226818,0.07462453842163086,13.888888359069824,14.084507942199707,False,0.0048470492546469094,180°  S,"( -0.0,  0.0,  9.8)","(  0.0,  0.0,  0.0)","( 99.3, -17.8)","( 0.000151,  0.000892)",0 m,0%,0%,1,0.03483341634273529,Mercedes Sprinter,Clear Noon
1,0:20:01.576818,0.5832552909851074,14.388489723205566,14.025245666503906,False,0.00485748384989,180°  S,"(  0.0, -0.0,  9.8)","( -0.0,  0.0, -0.0)","( 99.3, -17.8)","( 0.000151,  0.000892)",0 m,0%,0%,1,0.03483341634273529,Mercedes Sprinter,Clear Noon
2,0:20:01.976818,1.1233446598052979,14.388489723205566,14.025245666503906,False,0.004856515439536927,180°  S,"(  0.0, -0.0,  9.8)","( -0.0,  0.0, -0.0)","( 99.3, -17.8)","( 0.000151,  0.000892)",0 m,0%,0%,1,0.03483341634273529,Mercedes Sprinter,Clear Noon
3,0:20:02.376818,1.6352252960205078,14.265336036682129,14.409221649169922,False,0.004854189662711733,180°  S,"(  0.0, -0.0,  9.8)","( -0.0, -0.0, -0.0)","( 99.3, -17.8)","( 0.000151,  0.000892)",0 m,0%,0%,1,0.03483341634273529,Mercedes Sprinter,Clear Noon
4,0:20:02.826818,2.176617383956909,15.337423324584961,15.313935279846191,False,0.004860961396291529,180°  S,"( -0.0,  0.0,  9.8)","(  0.0, -0.0,  0.0)","( 99.3, -17.8)","( 0.000151,  0.000892)",0 m,0%,0%,1,0.03483341634273529,Mercedes Sprinter,Clear Noon
5,0:20:03.376818,2.7199060916900635,18.903593063354492,18.621973037719727,False,0.30052538417076374,180°  S,"(  2.8,  0.1,  9.8)","(  0.1, -0.5, -0.2)","( 99.3, -17.8)","( 0.000151,  0.000892)",0 m,100%,0%,1,0.03483341634273529,Mercedes Sprinter,Clear Noon
6,0:20:03.926818,3.2677910327911377,20.44989776611328,20.53388214111328,False,6.900673145009266,180°  S,"(  3.6, -0.0,  9.8)","( -0.1,  0.1,  0.5)","( 99.3, -17.2)","( 0.000145,  0.000892)",0 m,100%,0%,1,0.0015039155259728432,Mercedes Sprinter,Clear Noon
7,0:20:04.426818,3.823842763900757,19.841270446777344,19.646366119384766,False,14.531720296983837,180°  S,"(  4.4,  0.0,  9.8)","(  0.0, -0.0,  0.2)","( 99.3, -15.6)","( 0.000131,  0.000892)",0 m,100%,0%,1,0.0015039155259728432,Mercedes Sprinter,Clear Noon
8,0:20:04.926818,4.3363001346588135,18.214935302734375,18.315017700195312,False,19.94072329289177,180°  S,"(  3.0,  0.1,  9.8)","(  0.2,  0.4,  2.1)","( 99.3, -13.0)","( 0.000108,  0.000892)",0 m,100%,0%,2,0.007544197607785463,Mercedes Sprinter,Clear Noon
9,0:20:05.426818,4.858212232589722,19.417476654052734,19.34235954284668,False,26.625436796276695,181° SW,"(  3.0,  0.2,  9.8)","(  0.2,  0.1,  3.4)","( 99.2,  -9.6)","( 0.000078,  0.000891)",0 m,100%,0%,2,0.013588975183665752,Mercedes Sprinter,Clear Noon
10,0:20:05.976818,5.3990278244018555,19.267822265625,19.34235954284668,False,31.338022957773173,182° SW,"(  2.4,  0.7,  9.8)","(  0.3,  0.1,  2.5)","( 99.1,  -5.2)","( 0.000037,  0.000890)",0 m,100%,0%,3,0.025706475600600243,Mercedes Sprinter,Clear Noon
11,0:20:06.526818,5.9253830909729,20.36659812927246,20.242916107177734,False,36.121444804246316,186° SW,"(  2.4,  3.3,  9.8)","(  2.7,  0.2, 17.9)","( 98.7,   0.0)","(-0.000009,  0.000886)",0 m,100%,0%,3,0.11735039949417114,Mercedes Sprinter,Clear Noon
